
 Face Cycles von G nach der Berechnung mit H

 Face Cycles von G nach dem Einfügen der Batch Edges
Face-Cycle 0 : 
(28, 25); (60, 24) ; komprimierteLänge: 1 ; 0
(60, 24); (72, 34) ; komprimierteLänge: 1 ; 0
(72, 34); (77, 54) ; komprimierteLänge: 1 ; 0
(77, 54); (56, 72) ; komprimierteLänge: 1 ; 0
(56, 72); (77, 54) ; komprimierteLänge: 1 ; 0
(77, 54); (91, 70) ; komprimierteLänge: 1 ; 0
(91, 70); (95, 90) ; komprimierteLänge: 1 ; 0
(95, 90); (82, 111) ; komprimierteLänge: 1 ; 0
(82, 111); (75, 105) ; komprimierteLänge: 1 ; 0
(75, 105); (54, 117) ; komprimierteLänge: 1 ; 0
(54, 117); (32, 116) ; komprimierteLänge: 1 ; 0
(32, 116); (22, 95) ; komprimierteLänge: 1 ; 0
(22, 95); (12, 90) ; komprimierteLänge: 1 ; 0
(12, 90); (14, 71) ; komprimierteLänge: 1 ; 0
(14, 71); (20, 62) ; komprimierteLänge: 1 ; 0
(20, 62); (14, 71) ; komprimierteLänge: 1 ; 0
(14, 71); (3, 58) ; komprimierteLänge: 1 ; 0
Face-Cycle 1 : 
(60, 24); (63, 21) ; komprimierteLänge: 1 ; 0
(63, 21); (76, 23) ; komprimierteLänge: 1 ; 0
(76, 23); (72, 34) ; komprimierteLänge: 1 ; 0
(72, 34); (60, 24) ; komprimierteLänge: 1 ; 0

 Face Cycles von G nach der Berechnung mit H
Face-Cycle 0 : 
(3, 58); (14, 71) ; komprimierteLänge: 1 ; 0
(14, 71); (12, 90) ; komprimierteLänge: 1 ; 0
(12, 90); (22, 95) ; komprimierteLänge: 1 ; 0
(22, 95); (32, 116) ; komprimierteLänge: 1 ; 0
(32, 116); (54, 117) ; komprimierteLänge: 1 ; 0
(54, 117); (75, 105) ; komprimierteLänge: 1 ; 0
(75, 105); (82, 111) ; komprimierteLänge: 1 ; 0
(82, 111); (95, 90) ; komprimierteLänge: 1 ; 0
(95, 90); (107, 99) ; komprimierteLänge: 1 ; 0
(107, 99); (95, 90) ; komprimierteLänge: 1 ; 0
(95, 90); (91, 70) ; komprimierteLänge: 1 ; 0
(91, 70); (98, 50) ; komprimierteLänge: 1 ; 0
(98, 50); (112, 64) ; komprimierteLänge: 1 ; 0
(112, 64); (116, 65) ; komprimierteLänge: 1 ; 0
(116, 65); (112, 64) ; komprimierteLänge: 1 ; 0
(112, 64); (98, 50) ; komprimierteLänge: 1 ; 0
(98, 50); (119, 33) ; komprimierteLänge: 1 ; 0
(119, 33); (111, 24) ; komprimierteLänge: 1 ; 0
(111, 24); (111, 4) ; komprimierteLänge: 1 ; 0
(111, 4); (107, 0) ; komprimierteLänge: 1 ; 0
(107, 0); (111, 4) ; komprimierteLänge: 1 ; 0
(111, 4); (111, 24) ; komprimierteLänge: 1 ; 0
(111, 24); (119, 33) ; komprimierteLänge: 1 ; 0
(119, 33); (98, 50) ; komprimierteLänge: 1 ; 0
(98, 50); (91, 70) ; komprimierteLänge: 1 ; 0
(91, 70); (77, 54) ; komprimierteLänge: 1 ; 0
(77, 54); (72, 34) ; komprimierteLänge: 1 ; 0
(72, 34); (76, 23) ; komprimierteLänge: 1 ; 0
(76, 23); (63, 21) ; komprimierteLänge: 1 ; 0
(63, 21); (66, 12) ; komprimierteLänge: 1 ; 0
(66, 12); (63, 21) ; komprimierteLänge: 1 ; 0
(63, 21); (60, 24) ; komprimierteLänge: 1 ; 0
(60, 24); (28, 25) ; komprimierteLänge: 1 ; 0
(28, 25); (22, 10) ; komprimierteLänge: 1 ; 0
(22, 10); (18, 5) ; komprimierteLänge: 1 ; 0
(18, 5); (22, 10) ; komprimierteLänge: 1 ; 0
(22, 10); (28, 25) ; komprimierteLänge: 1 ; 0
(28, 25); (23, 28) ; komprimierteLänge: 1 ; 0
(23, 28); (28, 25) ; komprimierteLänge: 1 ; 0
(28, 25); (60, 24) ; komprimierteLänge: 1 ; 0
(60, 24); (72, 34) ; komprimierteLänge: 1 ; 0
(72, 34); (77, 54) ; komprimierteLänge: 1 ; 0
(77, 54); (56, 72) ; komprimierteLänge: 1 ; 0
(56, 72); (77, 54) ; komprimierteLänge: 1 ; 0
(77, 54); (91, 70) ; komprimierteLänge: 1 ; 0
(91, 70); (95, 90) ; komprimierteLänge: 1 ; 0
(95, 90); (82, 111) ; komprimierteLänge: 1 ; 0
(82, 111); (75, 105) ; komprimierteLänge: 1 ; 0
(75, 105); (54, 117) ; komprimierteLänge: 1 ; 0
(54, 117); (32, 116) ; komprimierteLänge: 1 ; 0
(32, 116); (22, 95) ; komprimierteLänge: 1 ; 0
(22, 95); (12, 90) ; komprimierteLänge: 1 ; 0
(12, 90); (14, 71) ; komprimierteLänge: 1 ; 0
(14, 71); (20, 62) ; komprimierteLänge: 1 ; 0
(20, 62); (14, 71) ; komprimierteLänge: 1 ; 0
(14, 71); (3, 58) ; komprimierteLänge: 1 ; 0
Face-Cycle 1 : 
(60, 24); (63, 21) ; komprimierteLänge: 1 ; 0
(63, 21); (76, 23) ; komprimierteLänge: 1 ; 0
(76, 23); (72, 34) ; komprimierteLänge: 1 ; 0
(72, 34); (60, 24) ; komprimierteLänge: 1 ; 0

 Face Cycles von G nach dem Einfügen der Batch Edges
Face-Cycle 0 : 
(3, 58); (14, 71) ; komprimierteLänge: 1 ; 0
(14, 71); (12, 90) ; komprimierteLänge: 1 ; 0
(12, 90); (22, 95) ; komprimierteLänge: 1 ; 0
(22, 95); (32, 116) ; komprimierteLänge: 1 ; 0
(32, 116); (54, 117) ; komprimierteLänge: 1 ; 0
(54, 117); (75, 105) ; komprimierteLänge: 1 ; 0
(75, 105); (82, 111) ; komprimierteLänge: 1 ; 0
(82, 111); (95, 90) ; komprimierteLänge: 1 ; 0
(95, 90); (107, 99) ; komprimierteLänge: 1 ; 0
(107, 99); (95, 90) ; komprimierteLänge: 1 ; 0
(95, 90); (91, 70) ; komprimierteLänge: 1 ; 0
(91, 70); (98, 50) ; komprimierteLänge: 1 ; 0
(98, 50); (112, 64) ; komprimierteLänge: 1 ; 0
(112, 64); (116, 65) ; komprimierteLänge: 1 ; 0
(116, 65); (112, 64) ; komprimierteLänge: 1 ; 0
(112, 64); (98, 50) ; komprimierteLänge: 1 ; 0
(98, 50); (119, 33) ; komprimierteLänge: 1 ; 0
(119, 33); (111, 24) ; komprimierteLänge: 1 ; 0
(111, 24); (111, 4) ; komprimierteLänge: 1 ; 0
(111, 4); (107, 0) ; komprimierteLänge: 1 ; 0
(107, 0); (111, 4) ; komprimierteLänge: 1 ; 0
(111, 4); (111, 24) ; komprimierteLänge: 1 ; 0
(111, 24); (119, 33) ; komprimierteLänge: 1 ; 0
(119, 33); (98, 50) ; komprimierteLänge: 1 ; 0
(98, 50); (91, 70) ; komprimierteLänge: 1 ; 0
(91, 70); (77, 54) ; komprimierteLänge: 1 ; 0
(77, 54); (72, 34) ; komprimierteLänge: 1 ; 0
(72, 34); (76, 23) ; komprimierteLänge: 1 ; 0
(76, 23); (63, 21) ; komprimierteLänge: 1 ; 0
(63, 21); (66, 12) ; komprimierteLänge: 1 ; 0
(66, 12); (63, 21) ; komprimierteLänge: 1 ; 0
(63, 21); (60, 24) ; komprimierteLänge: 1 ; 0
(60, 24); (28, 25) ; komprimierteLänge: 1 ; 0
(28, 25); (22, 10) ; komprimierteLänge: 1 ; 0
(22, 10); (18, 5) ; komprimierteLänge: 1 ; 0
(18, 5); (22, 10) ; komprimierteLänge: 1 ; 0
(22, 10); (28, 25) ; komprimierteLänge: 1 ; 0
(28, 25); (23, 28) ; komprimierteLänge: 1 ; 0
(23, 28); (20, 62) ; komprimierteLänge: 1 ; 0
(20, 62); (14, 71) ; komprimierteLänge: 1 ; 0
(14, 71); (3, 58) ; komprimierteLänge: 1 ; 0
Face-Cycle 1 : 
(12, 90); (14, 71) ; komprimierteLänge: 1 ; 0
(14, 71); (20, 62) ; komprimierteLänge: 1 ; 0
(20, 62); (56, 72) ; komprimierteLänge: 1 ; 0
(56, 72); (75, 105) ; komprimierteLänge: 1 ; 0
(75, 105); (54, 117) ; komprimierteLänge: 1 ; 0
(54, 117); (32, 116) ; komprimierteLänge: 1 ; 0
(32, 116); (22, 95) ; komprimierteLänge: 1 ; 0
(22, 95); (12, 90) ; komprimierteLänge: 1 ; 0
Face-Cycle 2 : 
(20, 62); (23, 28) ; komprimierteLänge: 1 ; 0
